,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Malawi","Data source","All types","1.29","1.32","1.26","1.61","1.59","1.12","0.99","1.15","1.06","0.94","1.02","1.10","1.12","1.36","1.35","1.09","1.17","1.64","1.81","1.69"
"Malaysia","Data source","All types","1.08","1.01","0.97","0.92","0.94","0.88","0.89","0.94","0.75","0.79","0.68","0.66","0.64","0.64","0.69","0.66","0.65","0.81","0.83","0.83"
"Mali","Data source","All types","0.42","0.40","0.49","0.51","0.48","0.46","0.46","0.47","0.54","0.63","0.67","0.67","0.62","0.61","0.64","0.46","0.44","0.51","0.39","0.40"
"Malta","Data source","All types","6.81","6.70","6.46","7.22","7.19","7.20","7.21","7.17","7.22","7.21","7.13","7.15","5.00","5.33","4.91","5.05","4.29","4.94","5.24","5.38"
"Mauritania","Data source","All types","0.02","0.02","0.02","0.02","0.01","0.01","0.02","0.02","0.06","0.02","0.03","0.01","0.02","0.03","0.05","0.04","0.05","0.04","0.06","0.08"
"Mauritius","Data source","All types","3.75","3.28","3.19","2.91","2.95","2.79","2.84","3.28","3.02","2.62","3.54","3.57","3.42","3.04","2.86","2.82","2.97","2.87","2.82","3.02"
"Mexico","Data source","All types","4.85","4.88","4.76","5.26","5.14","5.18","5.23","5.27","4.84","4.89","5.10","4.49","4.70","4.43","4.45","4.38","4.33","4.51","4.76","4.52"
"Micronesia (Federated States of)","Data source","All types","3.54","3.58","3.61","3.65","3.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mongolia","Data source","All types","2.36","3.23","1.63","1.52","2.05","1.68","1.86","1.72","2.06","2.23","2.59","2.16","2.10","2.72","3.33","3.65","3.52","4.03","3.75","3.64"
"Morocco","Data source","All types","0.51","0.64","0.48","0.50","0.56","0.60","0.61","0.75","0.79","0.71","0.70","0.76","0.77","0.72","0.56","0.54","0.55","0.58","0.73","0.64"
"Mozambique","Data source","All types","1.02","0.67","0.62","0.69","0.81","0.57","0.48","0.57","0.65","0.51","0.39","0.27","0.29","0.37","0.25","0.26","0.37","0.35","0.62","0.93"
"Myanmar","Data source","All types","0.26","0.26","0.29","0.27","0.21","0.23","0.21","0.23","0.09","0.12","0.15","0.16","0.27","0.28","0.30","0.29","0.23","0.22","0.20","0.17"
"Namibia","Data source","All types","4.24","1.59","2.30","0.19","0.10","0.30","0.20","0.19","0.24","0.23","0.24","0.25","0.25","0.26","0.27","0.27","0.27","0.27","0.26","0.26"
